id,time,timestamp,strategy,asset,side,price,size,pnl,status,confidence,edge,latency,note
C5LEG-1779223732-BTC,22:49:38,1779223778.575261,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76937.49 final=76986.89 | fee=0.00 slip=0.15
C5LEG-1779223729-ETH,22:49:35,1779223775.6850023,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2115.32 final=2117.88 | fee=0.00 slip=0.15
C5LEG-1779223726-SOL,22:49:32,1779223772.5913098,coin5min,SOL,YES_LEG,0.506,3.75,3.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.44 final=84.53 | fee=0.00 slip=0.15
C5LEG-1779223685-BTC,22:48:52,1779223732.8714187,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76942.11 final=76978.24 | fee=0.00 slip=0.15
C5LEG-1779223682-ETH,22:48:49,1779223729.83654,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2115.52 final=2118.03 | fee=0.00 slip=0.15
C5LEG-1779223679-SOL,22:48:46,1779223726.530623,coin5min,SOL,YES_LEG,0.506,3.75,3.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.44 final=84.53 | fee=0.00 slip=0.15
C5LEG-1779223637-BTC,22:48:05,1779223685.669856,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76949.17 final=76991.80 | fee=0.00 slip=0.15
C5LEG-1779223634-ETH,22:48:02,1779223682.8106916,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2115.88 final=2118.43 | fee=0.00 slip=0.15
C5LEG-1779223631-SOL,22:47:59,1779223679.6223702,coin5min,SOL,YES_LEG,0.506,3.75,3.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.45 final=84.55 | fee=0.00 slip=0.15
C5LEG-1779223592-BTC,22:47:17,1779223637.5470972,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76936.08 final=76984.86 | fee=0.00 slip=0.15
C5LEG-1779223586-ETH,22:47:14,1779223634.3702335,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2115.97 final=2117.99 | fee=0.00 slip=0.15
C5LEG-1779223583-SOL,22:47:11,1779223631.3514853,coin5min,SOL,YES_LEG,0.506,3.75,3.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.45 final=84.53 | fee=0.00 slip=0.15
C5LEG-1779223545-BTC,22:46:32,1779223592.0755594,coin5min,BTC,YES_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=76917.67 final=76961.62 | fee=0.00 slip=0.15
C5LEG-1779223539-ETH,22:46:26,1779223586.1405814,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=2115.60 final=2117.09 | fee=0.00 slip=0.15
C5LEG-1779223536-SOL,22:46:23,1779223583.380697,coin5min,SOL,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.01,0.0,leg1 expiry | YES only | ref=84.44 final=84.47 | fee=0.00 slip=0.15
C5LEG-1779223499-BTC,22:45:45,1779223545.7961028,coin5min,BTC,YES_LEG,0.4883,5.0,0.24,WIN,,-0.01,0.0,expiry | ref=76940.24 final=76946.20 outcome=YES | fee=0.00 slip=0.00
C5LEG-1779223494-ETH,22:45:39,1779223539.6474016,coin5min,ETH,YES_LEG,0.508,5.0,4.69,LEG1_WIN,,-0.02,0.0,leg1 expiry | YES only | ref=2116.24 final=2116.64 | fee=0.00 slip=0.15
C5LEG-1779223491-SOL,22:45:36,1779223536.9063985,coin5min,SOL,YES_LEG,0.5,0.03,-0.13,LEG1_LOSS,,-0.01,0.0,leg1 expiry | YES only | ref=84.47 final=84.47 | fee=0.00 slip=0.15
C5LEG-1779223447-ETH,22:44:54,1779223494.044328,coin5min,ETH,YES_LEG,0.492,1.23,-1.38,LEG1_LOSS,,-0.01,0.0,leg1 expiry | YES only | ref=2116.60 final=2116.22 | fee=0.00 slip=0.15
C5LEG-1779223428-SOL,22:44:35,1779223475.856144,coin5min,SOL,NO_LEG,0.5178,5.0,4.51,LEG1_WIN,,-0.01,0.0,leg1 expiry | NO only | ref=84.50 final=84.45 | fee=0.00 slip=0.15
